abc-return,abc-risk,genetic_return,genetic risk
0.388386512,0.200789805,0.386850755,0.201047367
0.386010829,0.200708105,0.386960145,0.201256471
0.385450291,0.200043396,0.387783462,0.201884105
0.385349251,0.200388523,0.386705188,0.200357423
0.385699707,0.200612483,0.387199813,0.201598856
0.38562412,0.200660947,0.387138344,0.201454648
0.384269865,0.200105215,0.387349029,0.201171893
0.385431782,0.200536236,0.387103113,0.201389785
0.386780688,0.194149324,0.387305444,0.20167728
0.385240085,0.199845006,0.387139924,0.201498979
0.388362779,0.199161767,0.387404716,0.201471531
0.385478744,0.200277664,0.388077369,0.202163108
0.38575163,0.2007819,0.386953251,0.199633533
0.384665545,0.199798296,0.387105999,0.201089381
0.385975207,0.200088856,0.385993424,0.199287326
0.385165676,0.199101177,0.387340175,0.201328846
0.384785053,0.19016412,0.386484392,0.200734383
0.385753901,0.199735078,0.387130639,0.193575892
0.386113574,0.198643359,0.387049327,0.201383202
0.385522665,0.199824557,0.387325036,0.201384096
0.386005219,0.19647712,0.387115995,0.200931982
0.386067745,0.200451014,0.387310556,0.196323872
0.385340498,0.199751631,0.386624627,0.200933683
0.379308519,0.188874003,0.386640563,0.200705514
0.382931936,0.19292686,0.382799318,0.194158021
0.378528061,0.188349596,0.378835867,0.187799461
0.379858416,0.188600098,0.381406688,0.188594649
0.376551287,0.181858477,0.384254683,0.188824542
0.373165439,0.181856421,0.374461395,0.18270131
0.369949787,0.176793163,0.371297611,0.178206872
0.353600949,0.160898268,0.369995492,0.176602915
0.365898418,0.17281079,0.355954739,0.155772497
0.346752503,0.155704059,0.356053128,0.157176213
0.340020404,0.146375082,0.351334437,0.161891105
0.342930516,0.146854843,0.34007311,0.143705665
0.323609315,0.135064687,0.335694604,0.141320708
0.313979641,0.131447499,0.308555069,0.1321043
0.259658058,0.11713167,0.269019196,0.119747438
0.18009013,0.106753038,0.186490691,0.1071964
0.106022784,0.10566552,0.109453523,0.105228509
